"","participant","condition","block","trial","stimulus","stimulus_type","choice","rt","correct"
"284","P10","3-back",1,14,"T","non-target","non-target",388,TRUE
"285","P10","3-back",1,15,"N","target","target",788,TRUE
"286","P10","3-back",1,16,"B","target","target",300,TRUE
"287","P10","3-back",1,17,"D","non-target","non-target",339,TRUE
"288","P10","3-back",1,18,"J","non-target","non-target",563,TRUE
"289","P10","3-back",1,19,"H","non-target","non-target",443,TRUE
"290","P10","3-back",1,20,"C","non-target","non-target",379,TRUE
"291","P10","3-back",1,21,"W","non-target","non-target",411,TRUE
"292","P10","3-back",1,22,"Q","non-target","non-target",411,TRUE
"293","P10","3-back",1,23,"C","non-target","target",355,FALSE
"294","P10","3-back",1,24,"W","target","target",387,TRUE
"295","P10","3-back",1,25,"Q","target","target",459,TRUE
"296","P10","3-back",1,26,"C","target","target",372,TRUE
"297","P10","3-back",1,27,"F","non-target","non-target",371,TRUE
"298","P10","3-back",1,28,"T","non-target","non-target",371,TRUE
"299","P10","3-back",1,29,"V","non-target","non-target",550,TRUE
"300","P10","3-back",1,30,"F","target","target",443,TRUE
"301","P10","3-back",2,1,"S","burn-in","non-target",704,TRUE
"302","P10","3-back",2,2,"M","burn-in","non-target",443,TRUE
"303","P10","3-back",2,3,"N","burn-in","non-target",384,TRUE
"304","P10","3-back",2,4,"L","non-target","non-target",384,TRUE
"305","P10","3-back",2,5,"B","non-target","non-target",384,TRUE
"306","P10","3-back",2,6,"D","non-target","non-target",384,TRUE
"307","P10","3-back",2,7,"R","non-target","non-target",368,TRUE
"308","P10","3-back",2,8,"B","target","target",368,TRUE
"309","P10","3-back",2,9,"K","non-target","non-target",480,TRUE
"310","P10","3-back",2,10,"Y","non-target","non-target",384,TRUE
"311","P10","3-back",2,11,"H","non-target","non-target",368,TRUE
"312","P10","3-back",2,12,"K","target","target",696,TRUE
"313","P10","3-back",2,13,"Y","target","target",592,TRUE
"314","P10","3-back",2,14,"J","non-target","non-target",1087,TRUE
"315","P10","3-back",2,15,"K","target","target",623,TRUE
"316","P10","3-back",2,16,"Z","non-target","non-target",447,TRUE
"317","P10","3-back",2,17,"J","target","non-target",463,FALSE
"318","P10","3-back",2,18,"K","target","target",383,TRUE
"319","P10","3-back",2,19,"P","non-target","non-target",1079,TRUE
"320","P10","3-back",2,20,"J","target","target",935,TRUE
"321","P10","3-back",2,21,"K","target","non-target",576,FALSE
"322","P10","3-back",2,22,"G","non-target","non-target",504,TRUE
"323","P10","3-back",2,23,"H","non-target","non-target",464,TRUE
