,participant,condition,block,trial,stimulus,stimulus_type,choice,rt,correct,N,n_targets,n_corrects,lure,n_recent_repetitions,n_recent_targets,n_recent_lures,n_recent_corrects,n_lures
95,P1,3-back,1,5,W,target,non-target,1693.0,False,3,10,21,False,1.0,1.0,0.0,1.0,1
96,P1,3-back,1,6,Y,target,non-target,1765.0,False,3,10,21,False,1.0,2.0,0.0,1.0,1
97,P1,3-back,1,7,F,non-target,non-target,2813.0,True,3,10,21,False,0.0,2.0,0.0,2.0,1
98,P1,3-back,1,8,J,non-target,non-target,3140.0,True,3,10,21,False,0.0,2.0,0.0,2.0,1
99,P1,3-back,1,9,D,non-target,non-target,2980.0,True,3,10,21,False,0.0,1.0,0.0,3.0,1
100,P1,3-back,1,10,F,target,target,2716.0,True,3,10,21,False,1.0,1.0,0.0,4.0,1
101,P1,3-back,1,11,J,target,target,2588.0,True,3,10,21,False,1.0,2.0,0.0,4.0,1
102,P1,3-back,1,12,R,non-target,non-target,2444.0,True,3,10,21,False,0.0,2.0,0.0,4.0,1
103,P1,3-back,1,13,V,non-target,non-target,2188.0,True,3,10,21,False,0.0,2.0,0.0,4.0,1
104,P1,3-back,1,14,J,target,non-target,2636.0,False,3,10,21,False,1.0,2.0,0.0,3.0,1
105,P1,3-back,1,15,R,target,target,1196.0,True,3,10,21,False,1.0,2.0,0.0,3.0,1
106,P1,3-back,1,16,L,non-target,non-target,2764.0,True,3,10,21,False,0.0,2.0,0.0,3.0,1
107,P1,3-back,1,17,J,target,target,1604.0,True,3,10,21,False,1.0,3.0,0.0,3.0,1
108,P1,3-back,1,18,S,non-target,non-target,3372.0,True,3,10,21,False,0.0,2.0,0.0,4.0,1
109,P1,3-back,1,19,L,target,non-target,1908.0,False,3,10,21,False,1.0,2.0,0.0,3.0,1
110,P1,3-back,1,20,P,non-target,non-target,2300.0,True,3,10,21,False,0.0,2.0,0.0,3.0,1
111,P1,3-back,1,21,T,non-target,non-target,1580.0,True,3,10,21,False,0.0,1.0,0.0,3.0,1
112,P1,3-back,1,22,Q,non-target,non-target,1524.0,True,3,10,21,False,0.0,1.0,0.0,3.0,1
113,P1,3-back,1,23,T,non-target,target,1668.0,False,3,10,21,True,1.0,0.0,1.0,3.0,1
114,P1,3-back,1,24,T,target,target,1092.0,True,3,10,21,False,2.0,1.0,1.0,3.0,1
115,P1,3-back,1,25,M,non-target,non-target,764.0,True,3,10,21,False,1.0,1.0,1.0,3.0,1
116,P1,3-back,1,26,T,target,target,1388.0,True,3,10,21,False,2.0,2.0,1.0,3.0,1
117,P1,3-back,1,27,V,non-target,non-target,2356.0,True,3,10,21,False,1.0,2.0,0.0,4.0,1
118,P1,3-back,1,28,N,non-target,non-target,1012.0,True,3,10,21,False,0.0,1.0,0.0,4.0,1
119,P1,3-back,1,29,Y,non-target,non-target,1572.0,True,3,10,21,False,0.0,1.0,0.0,4.0,1
120,P1,3-back,1,30,H,non-target,target,1700.0,False,3,10,21,False,0.0,0.0,0.0,3.0,1
121,P1,3-back,2,1,R,burn-in,,,False,3,10,24,False,,,,,1
122,P1,3-back,2,2,P,burn-in,,,False,3,10,24,False,,,,,1
123,P1,3-back,2,3,Q,burn-in,,,False,3,10,24,False,,,,,1
124,P1,3-back,2,4,R,target,target,1089.0,True,3,10,24,False,1.0,1.0,0.0,1.0,1
125,P1,3-back,2,5,P,target,target,1081.0,True,3,10,24,False,1.0,2.0,0.0,2.0,1
126,P1,3-back,2,6,B,non-target,non-target,849.0,True,3,10,24,False,0.0,2.0,0.0,3.0,1
127,P1,3-back,2,7,C,non-target,non-target,2185.0,True,3,10,24,False,0.0,2.0,0.0,4.0,1
